id,name,type,frequency_text,ac,damage_base,damage_dice,damage_set,class,range_text,effect_text,source_id,source_page,needs_review
octolock,Octolock,Fighting,Scene,2,,,,Status,"Melee, 1 Target","The user initiates a Grapple Maneuver with the target, which automatically hits. If successful, until the user no longer has Dominance in the grapple, the target is Trapped and loses 1 CS in Defense and Special Defense at the end of each of their turns.",new,9,False
odor-sleuth,Odor Sleuth,Normal,Scene x2,,,,,Status,"Self, Swift Action","Odor Sleuth may be activated as a Swift Action on the user's turn. For the rest of the turn, the user's Normal-Type and Fighting-Type Moves can hit and affect Ghost-Type targets, and the user can see through the Illusion Ability, Moves with the Illusion keyword, and effects created by the Illusionist Capability, ignoring all effects from those.",core,403,False
ominous-wind,Ominous Wind,Ghost,EOT,2,6,2d6+8,15,Special,"6, 1 Target, Spirit Surge","On 19+, the user has each of its stats raised by +1 Combat Stage.",core,378,False
origin-pulse,Origin Pulse,Water,Scene x2,5,12,3d12+10,30,Special,"Close Blast 3, Smite",None,core,433,False
outrage,Outrage,Dragon,Scene x2,3,12,3d12+10,30,Physical,"Melee, all adjacent foes, Smite","After damage is dealt, the user becomes Enraged and Confused.",core,355,False
overdrive,Overdrive,Electric,EOT,2,8,2d8+10,19,Special,"Cone 2, Sonic",,new,7,False
overheat,Overheat,Fire,Scene,4,13,4d10+10,35,Special,"8, Ranged Blast 3, Smite",Lower the user's Special Attack 2 Combat Stages after damage.,core,372,False
pain-split,Pain Split,Normal,Daily x2,,,,,Status,"4, 1 Target","The user and the target both lose ½ of their current Hit Points. Add the amount of Hit Points the user and the target lost together, and divide the value by 2. Both the target and the user gain Hit Points equal to this value. Do not add Injuries from Pain Split from Hit Point Markers until the full effect of the Move has been resolved. Pain Split never causes Massive Damage. Hit Point loss from Pain Split cannot be prevented in any way",core,403,False
parabolic-charge,Parabolic Charge,Electric,Scene,2,7,2d6+10,17,Special,Cone 2,"After the targets take damage, the user gains Hit Points equal to half of the total damage they dealt to all targets.",sumo,10,False
parting-shot,Parting Shot,Dark,At-Will,2,,,,Status,"6, 1 Target, Social","If Parting Shot successfully hits, the target's Attack and Special Attack stats are lowered by one Combat Stage and the user is immediately recalled in the same turn. A new Pokémon may immediately be sent out. Using Parting Shot lets a Trapped user be recalled.",core,352,False
pay-day,Pay Day,Normal,Daily,2,4,1d8+6,11,Physical,Cone 2,"Pay Day scatters metal coins equal in value to 1d8 times the user's level. If it is a trainer battle, the winner of the battle gets to pick up the coins.",core,403,False
payback,Payback,Dark,EOT,2,5,1d8+8,13,Physical,"Melee, 1 Target","If the target hit the user with a Damaging Move on the previous turn, Payback has a Damage Base of 10 (3d8+10 / 24) instead.",core,352,False
peck,Peck,Flying,At-Will,2,4,1d8+6,11,Physical,"Melee, 1 Target",None,core,375,False
perish-song,Perish Song,Normal,Daily,,,,,Status,"Burst 15, Sonic","Perish Song cannot miss. All targets, including the user, receive a Perish Count of 3. At the beginning of each of the target's turns, their Perish count is lowered by 1. Once a Perish Count reaches 0, set the Pokémon's Hit Points to 0. A Perish Count disappears if a target returns to their Poké Ball, Takes a Breather, or is knocked out. Perish Song never causes Massive Damage.",core,403,False
petal-blizzard,Petal Blizzard,Grass,EOT,2,9,2d10+10,21,Physical,Burst 1,None.,core,382,False
petal-dance,Petal Dance,Grass,Scene x2,3,12,3d12+10,30,Special,"Melee, all adjacent foes, Smite","After damage is dealt, the user becomes Enraged and Confused.",core,383,False
phalanx,Phalanx,Steel,Scene,,,,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by an attack, the user may use Phalanx. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move's effects. In addition, if the triggering attack was Melee ranged, the user may immediately perform an Attack of Opportunity against the attacker. Jousting Samurott As hinted by its name, Samurott is based on the samurai warriors of Japanese history, which makes it a good can- didate for a variant Pokémon in more western-inspired settings. Rather than using its horn for cutting attacks like Fury Cutter and Slash, this variant is based on Eu- ropean knights and jousting. In terms of appearance, Samurott's ""armor"" and ""hel- met"" take on the appearance of European plate mail, including a pseudo-visor over its eyes to help protect them. Mechanics: Becomes Water/Steel Type and swaps Spe- cial Attack and Defense in its Base Stats. Replace Fury Cutter with Drill Peck, replace Slash with Iron Head, replace Swords Dance with Iron Defense. Replace the Inner Focus Ability with Run Up.",got,34,False
phantom-force,Phantom Force,Ghost,Scene x2,2,9,2d10+10,21,Physical,"Melee, 1 Target, Set-Up","The user is removed from the field, and their turn ends. Phantom Force's user appears adjacent to any legal target on the field, ignoring Movement Capabilities, and then uses Phantom Force's attack. Phantom Force cannot be avoided by Moves with the Shield Keyword, the Dodge Ability, or similar effects, and Intercepts may not be attempted in response.",core,378,False
photon-geyser,Photon Geyser,Psychic,Scene,2,10,3d8+10,24,Special,Burst 2,"This attack uses the highest of the user's Attack or Special Attack Stat, though it remains a Special Move. This Move ignores any Abilities that would cause it to fail or miss, such as Dodge or Wonder Guard; those Abilities cannot be activated in response to Photon Geyser.",sumo,21,False
pierce,Pierce!,Normal,EOT,2,7,2d6+10,17,Physical,"WR, 1 Target",Pierce deals an additional +10 damage against targets with Damage Reduction. Limitations: None,core,289,False
pin-missile,Pin Missile,Bug,EOT,4,3,1d6+5,9,Physical,"6, 1 Target, Five Strike",None,core,347,False
plasma-fists,Plasma Fists,Electric,Scene,2,10,3d8+10,24,Physical,"Melee, 1 Target, Smite",The target's next damaging Normal Type Move instead becomes Electric Type.,sumo,10,False
play-nice,Play Nice,Normal,At-Will,2,,,,Status,"6, 1 Target, Social",Play Nice lowers the target's Attack by 1 Combat Stage.,core,403,False
play-rough,Play Rough,Fairy,EOT,4,9,2d10+10,21,Physical,"Melee, 1 Target",Play Rough lowers the target's Attack 1 Combat Stage on 17-20 during Accuracy Check.,core,361,False
pluck,Pluck,Flying,At-Will,2,6,2d6+8,15,Physical,"Melee, 1 Target","Pluck takes the target's Held Item or Accessory Slot Item and attaches it to Pluck's user, if the user is not holding anything.",core,375,False
poison-fang,Poison Fang,Poison,EOT,2,5,1d8+8,13,Physical,"Melee, 1 Target",Poison Fang Badly Poisons the target on 17+.,core,415,False
poison-gas,Poison Gas,Poison,Scene,6,,,,Status,Burst 1 or Cone 2,Poison Gas Poisons all Legal Targets.,core,415,False
poison-jab,Poison Jab,Poison,EOT,2,8,2d8+10,19,Physical,"Melee, 1 Target",Poison Jab Poisons the target on 15+.,core,415,False
poison-powder,Poison Powder,Poison,EOT,6,,,,Status,"4, 1 Target, Powder",The target is Poisoned.,core,415,False
poison-sting,Poison Sting,Poison,At-Will,2,2,1d6+3,7,Physical,"6, 1 Target",Poison Sting Poisons the target on 17+.,core,415,False
poison-tail,Poison Tail,Poison,At-Will,2,5,1d8+8,13,Physical,"Melee, 1 Target","Poison Tail is a Critical Hit on 18+, and Poisons the target on 19+.",core,415,False
pollen-puff,Pollen Puff,Bug,EOT,2,9,2d10+10,21,Special,"6, 1 Target","Once per Scene, Pollen Puff may instead be used on an ally; when used this way, the target recovers 50% of their maximum Hit Points and the Move has the Healing keyword.",sumo,7,False
pound,Pound,Normal,At-Will,2,4,1d8+6,11,Physical,"Melee, 1 Target",None,core,403,False
powder,Powder,Bug,Scene x2,,,,,Status,"6, 1 Target, Interrupt, Powder","The target is dusted with a Coat of flammable powder. If it uses a damaging Fire-Type attack, the attack is negated and instad creates a Blast 3 centered on itself as the powder explodes, and the Coat is removed. All targets within the Blast take damage equal to what the user of the Fire-Type attack would roll for the damage of their attack. This damage is Typeless or Fire- Type, whichever would be more effective.",core,347,False
powder-snow,Powder Snow,Ice,At-Will,2,4,1d8+6,11,Special,Line 4,Powder Snow Freezes all Legal Targets on 19+.,core,390,False
power-gem,Power Gem,Rock,At-Will,2,8,2d8+10,19,Special,"6, 1 Target",None,core,426,False
power-split,Power Split,Psychic,Scene,,,,,Status,"Melee, 1 Target","The target has their Attack and Special Attack lowered by 5. If they do, the user gains a +5 bonus to Damage Rolls. These effects last until the end of the scene.",core,422,False
power-swap,Power Swap,Psychic,Scene,,,,,Status,"Melee, 1 Target","The user and the target trade Combat Stage values for the Attack Stat, and then for the Special Attack Stat.",core,422,False
power-trick,Power Trick,Psychic,Scene,,,,,Status,Self,"The user's Attack stat and Defense stat are switched for the remainder of the scene, or until the user is switched out or Fainted.",core,422,False
power-trip,Power Trip,Dark,EOT,2,2,1d6+3,7,Physical,"Melee, 1 Target","This Move gains +2 to its Damage Base for every positive Combat Stage held by the user, to a maximum of DB 20.",sumo,8,False
power-whip,Power Whip,Grass,Scene x2,5,12,3d12+10,30,Physical,"8, 1 Target, Smite",None,core,383,False
power-up-punch,Power-Up Punch,Fighting,EOT,2,4,1d8+6,11,Physical,"Melee, 1 Target","If Power-Up Punch successfully hits a target, the user's Attack is raised by +1 Combat Stage",core,366,False
precipice-blades,Precipice Blades,Ground,Scene x2,5,12,3d12+10,30,Physical,"Burst 1, Smite",None.,core,387,False
present,Present,Normal,EOT,3,,See Effect,,Physical,"4, 1 Target","Roll 1d6; Present has a Damage Base equal to twice the result. On a result of 1, instead of taking damage, the target gains 20 Hit Points.",core,404,False
prismatic-laser,Prismatic Laser,Psychic,Daily x2,4,16,5d10+20,50,Special,"Line 8, Smite, Exhaust",,sumo,21,False
protect,Protect,Normal,Scene,,,,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by a Move, the user may use Protect. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move's effects.",core,404,False
psybeam,Psybeam,Psychic,At-Will,2,7,2d6+10,17,Special,"6, 1 Target",Psybeam Confuses the target on 19+.,core,422,False
psych-up,Psych Up,Normal,Scene,,,,,Status,"6, 1 Target",The user's Combat Stages are changed to match the target's Combat Stages. Psych Up cannot miss.,core,404,False
psychic,Psychic,Psychic,EOT,2,9,2d10+10,21,Special,"5, 1 Target, Push",The target is Pushed 1 meter in any direction. Psychic lowers the target's Special Defense 1 Combat Stage on 17+.,core,423,False
psychic-fangs,Psychic Fangs,Psychic,EOT,2,9,2d10+10,21,Physical,"4, 1 Target","Light Screen, Reflect and Aurora Veil cannot be declared in response to Psychic Fangs.",sumo,21,False
psychic-terrain,Psychic Terrain,Psychic,Daily x2,,,,,Status,Field,"The Field becomes Weird for five rounds. While the Field is Weird, non-Flying and non- Levitating Pokémon cannot declare Priority or Interrupt Moves outside their own Initiatives. Damaging Psychic-Type attacks deal an additional 10 damage",sumo,21,False
psycho-boost,Psycho Boost,Psychic,Scene,4,14,4d10+15,40,Special,"8, Ranged Blast 3, Smite",Lower the user's Special Attack 2 Combat Stages after damage is resolved.,core,423,False
psycho-cut,Psycho Cut,Psychic,EOT,2,7,2d6+10,17,Physical,"6, 1 Target",Psycho Cut is a Critical Hit on 18+.,core,423,False
psycho-shift,Psycho Shift,Psychic,Scene,,,,,Status,"Melee, 1 Target",The user is cured of a Status ailment and the target is given that Status ailment. Psycho Shift cannot miss. Psycho Shift can only be used if the user has a Status ailment and the target does not have the status ailment that is being transferred.,core,423,False
psyshock,Psyshock,Psychic,At-Will,2,8,2d8+10,21,Special,"4, 1 Target","When calculating damage, the target subtracts their Defense from Psyshock's damage instead of their Special Defense. Psyshock is still otherwise Special ( Special Evasion is used to avoid it, Mirror Coat can reflect it, etc. )",core,423,False
psystrike,Psystrike,Psychic,EOT,2,10,3d8+10,24,Special,"4, 1 Target","When calculating damage, the target subtracts their Defense from Psystrike's damage instead of their Special Defense. Psystrike is still otherwise Special (Special Evasion is used to avoid it, Mirror Coat can reflect it, etc.)",core,423,False
psywave,Psywave,Psychic,Scene,5,,,,Special,"6, 1 Target","Roll 1d4; on 1 the target loses Hit Points equal to half the user's Level; on 2 the target loses Hit Points equal to the user's Level; on 3 the target loses Hit Points equal to 1.5x the user's level; on 4 the target loses Hit Points equal to the user's Level doubled. Do not apply weakness or resistance, and do not apply Stats. Do apply Immunity.",core,423,False
punishment,Punishment,Dark,EOT,2,6,2d6+8,15,Physical,"Melee, 1 Target","Punishment's Damage Base is raised by +1 for each positive Combat Stage the target has, to a maximum of DB 12.",core,352,False
purify,Purify,Poison,Scene,,,,,Status,"Melee, 1 Target","The target is cured of all Permanent and Volatile Statuses. For every status removed, the user recovers a Tick of Hit Points.",sumo,20,False
pursuit,Pursuit,Dark,At-Will,2,4,1d8+6,11,Physical,"Melee, 1 Target","If the foe is fleeing or being switched out, Pursuit may be used as an Interrupt, targeting the triggering foe. When used as an Interrupt, Pursuit grants the user a +5 bonus to all Movement Speeds, and has a Damage Base of 8 (2d8+10 / 19).",core,352,False
pyro-ball,Pyro Ball,Fire,Scene x2,4,12,3d12+10,30,Physical,"6, 1 Target, Smite",The target is Burned on 19+.,new,10,False
quash,Quash,Dark,At-Will,2,,,,Status,"10, 1 Target, Social",Quash changes the target's Initiative to 0 for the remainder of the round.,core,352,False
quick-attack,Quick Attack,Normal,At-Will,2,4,1d8+6,11,Physical,"Melee, 1 Target, Priority",None.,core,404,False
quick-guard,Quick Guard,Fighting,Scene,,,,,Status,"Melee, Interrupt, Shield, Trigger","If the user or an adjacent ally is targeted by a Priority or Interrupt Attack, Quick Guard may be declared as an Interrupt, causing the triggering attack to have no effect.",core,366,False
quiver-dance,Quiver Dance,Bug,Scene x2,,,,,Status,Self,"Raise the user's Special Attack, Special Defense, and Speed by +1 Combat Stage each.",core,347,False
rage,Rage,Normal,At-Will,2,2,1d6+3,7,Physical,"Melee, 1 Target, Spirit Surge","The user becomes Enraged. Until the end of the user's next turn, if the user is Enraged, the user gains +1 Attack Combat Stage whenever they are damaged by an Damaging Move or Attack.",core,404,False
rage-powder,Rage Powder,Bug,Scene x2,,,,,Status,"Burst 1 or Line 6, Powder","All targets hit by Rage Powder are Enraged. While enraged, they must shift to target the user when using a Move or Attack if the user is within reach. If the user is Fainted or Switched out, all targets hit by Rage Powder are cured of rage.",core,347,False
rain-dance,Rain Dance,Water,Daily x2,,,,,Status,"Field, Weather","The weather becomes Rainy for 5 rounds. While Rainy, Water-Type Attacks gain a +5 bonus to Damage Rolls, and Fire-Type Attacks suffer a -5 Damage penalty.",core,433,False
rapid-spin,Rapid Spin,Normal,At-Will,2,5,1d8+8,13,Physical,"Melee, 1 Target, Spirit Surge","Rapid Spin destroys all Hazards within 5 meters, removes Leech Seeds, and removes the user's Trapped or Stuck status. If Rapid Spin hits, the user's speed raises 1 CS.",new,12,False
razor-leaf,Razor Leaf,Grass,At-Will,4,6,2d6+8,15,Physical,Cone 2,Razor Leaf is a Critical Hit on 18+.,core,383,False
razor-shell,Razor Shell,Water,EOT,3,8,2d8+10,19,Physical,"Melee, 1 Target, Dash",Razor Shell lowers the Target's Defense 1 Combat Stage on an Even-Numbered Roll.,core,434,False
razor-wind,Razor Wind,Normal,EOT,2,8,2d8+10,19,Special,"10, 3 Targets, Set-Up","The user may not shift this round. The user whips up a whirlwind around themselves, granting +2 Evasion until the end of their next turn, and destroying any Smokescreen or Hazards on any squares they are standing on and in all squares adjacent to them. The user attacks with Razor Wind. Razor Wind is a Critical Hit on 18+.",core,404,False
recover,Recover,Normal,Daily x2,,,,,Status,Self,The user regains Hit Points equal to half of its full Hit Point value.,core,405,False
recycle,Recycle,Normal,Scene,,,,,Status,Self,The effect of a consumable item used earlier in the encounter is used again as if it had not been destroyed. The item is still gone.,core,405,False
reflect,Reflect,Psychic,Scene,,,,,Status,Blessing,"Blessing - Any user affected by Reflect may activate it when receiving Physical Damage to resist the Damage one step. Reflect may be activated 2 times, and then disappears.",core,424,False
reflect-type,Reflect Type,Normal,Scene,2,,,,Status,"Melee, 1 Target",Reflect Type changes one of the user's Types into one Type of your choice that the target has for the rest of the scene.,core,405,False
refresh,Refresh,Normal,Scene x2,,,,,Status,Self,"The user is cured of all Poison, Burns, and Paralysis.",core,405,False
relic-song,Relic Song,Normal,Scene,2,8,3d6+10,21,Special,"Burst 3, Friendly, Sonic","All Legal Targets fall Asleep on 16+. As long as Meloetta knows Relic Song, it may change between Aria Form and Step Form as a Swift Action when using Relic Song, or as a Standard Action otherwise. Both Aria and Step Form must be statted with the same HP Stat.",core,405,False
rending-spell,Rending Spell,Normal,EOT,2,3,1d6+5,9,Special,"WR, 1 Target",The target loses a Tick of Hit Points on 16+.,got,44,False
resonance-beam,Resonance Beam,Normal,EOT,3,4,1d8+6,11,Special,Line 4,All targets have their Special Defense lowered by 1 Combat Stage on 20+. This Effect Range is extended by +1 for each foe targeted by this Move.,got,44,False
rest,Rest,Psychic,Scene,,,,,Status,Self,"The user is set to their full Hit Point value. The user is cured of any Status ailments. Then, the user falls Asleep. The user cannot make Sleep Checks at the beginning of their turn. They are cured of the Sleep at the end of their turn in 2 rounds.",core,424,False
retaliate,Retaliate,Normal,Scene x2,2,7,2d6+10,17,Physical,"Melee, 1 Target",Retaliate's Damage Base is doubled to DB 14 (4d10+15 / 40) if an ally has been Fainted by a Damaging Move used by the Target in the last 2 rounds of Combat.,core,405,False
return,Return,Normal,At-Will,,,,,Physical,"Melee, 1 Target",Return's Damage Base is equal to 3 plus the user's Loyalty Value.,core,405,False
revelation-dance,Revelation Dance,Normal,EOT,2,9,2d10+10,21,Special,"6, 1 Target","Revelation Dance is the same Type as the user's primary Type (the first one listed in the Pokédex). Revelation Dance deals +5 Bonus Damage for every other Dance Move used by the user this round, to a maximum of +15.",sumo,19,False
revenge,Revenge,Fighting,EOT,2,6,2d6+8,15,Physical,"Melee, 1 Target, Priority (Limited)","When declaring Revenge, the user does nothing and may not Shift. At the end of the round, the user may shift and use Revenge. If the target has damaged the user this round, Revenge has a Damage Base of 12 (3d12+10 / 30).",core,366,False
reversal,Reversal,Fighting,EOT,2,7,2d6+10,17,Physical,"Melee, 1 Target","For each Injury the user has, Reversal's Damage Base is increased by +1.",core,366,False
riposte,Riposte,Normal,Scene x2,2,12,3d12+10,30,Physical,"WR, 1 Target, Reaction, Trigger",None Limitations: Melee or Short-Ranged Weapons Only,core,290,False
roar,Roar,Normal,Scene,2,,,,Status,"Burst 1, Sonic, Social","When declaring Roar, the user does nothing and may not Shift. At the end of the round, the user Shifts and uses Roar. Targets hit by Roar immediately Shift away from the target using their highest usable movement capability, and towards their Trainer if possible. If the target is an owned Pokémon and ends this shift within 6 meters of their Poké Ball, they are immediately recalled to their Poké Ball. If that Trainer sends out a replacement, they do not lose their Pokémon turn.",core,406,False
roar-of-time,Roar of Time,Dragon,Daily x2,4,15,4d10+20,45,Special,"Burst 8, Smite, Exhaust","All legal targets are Slowed, even if the attack misses.",core,355,False
rock-blast,Rock Blast,Rock,EOT,5,3,1d6+5,9,Physical,"6, 1 Target, Five Strike",None,core,426,False
rock-climb,Rock Climb,Normal,At-Will,5,8,2d8+10,19,Physical,"Melee, 1 Target, Dash",Rock Climb Confuses the target on 17+.,core,406,False
rock-polish,Rock Polish,Rock,EOT,,,,,Status,Self,Raise the user's Speed 2 Combat Stages.,core,426,False
rock-slide,Rock Slide,Rock,Scene x2,4,8,2d8+10,19,Physical,"6, Ranged Blast 3",Rock Slide Flinches all Legal Targets on 17+.,core,426,False
rock-smash,Rock Smash,Fighting,At-Will,2,4,1d8+6,11,Physical,"Melee, 1 Target",Rock Smash lowers the target's Defense 1 Combat Stage on 17+.,core,367,False
rock-throw,Rock Throw,Rock,At-Will,4,5,1d8+8,13,Physical,"6, 1 Target",None,core,426,False
rock-tomb,Rock Tomb,Rock,At-Will,5,6,2d6+8,15,Physical,"6, 1 Target",Rock Tomb lowers the target's Speed by -1 Combat Stage.,core,427,False
rock-wrecker,Rock Wrecker,Rock,Daily x2,4,15,4d10+20,45,Physical,"Melee, 1 Target, Dash, Exhaust, Smite",None,core,427,False
role-play,Role Play,Psychic,Daily,,,,,Status,"Melee, 1 Target","The user gains one of the target's Abilities, chosen at random, for the remainder of the encounter. This effect ends if the user Faints or is switched out. Role Play cannot miss.",core,424,False
rolling-kick,Rolling Kick,Fighting,At-Will,4,6,2d6+8,15,Physical,"Melee, 1 Target",Rolling Kick Flinches the target on 15+.,core,367,False
rollout,Rollout,Rock,At-Will,4,3,1d6+5,9,Physical,"Melee, 1 Target, Pass","The user continues to use Rollout on each of its turns until they miss any target with Rollout, or are not able to hit any target with Rollout during their turn. Each successive use of Rollout increases Rollout's Damage Base by +4 to a maximum of DB 15.",core,427,False
roost,Roost,Flying,Daily x2,,,,,Status,Self,"The user regains Hit Points equal to half of its full Hit Points. If the user is a Flying Type, it loses the Flying Type until the start of their next turn.",core,375,False
rototiller,Rototiller,Ground,Scene,,,,,Status,Burst 2,All Grass-type Pokémon in the area raise their Attack and Special Attack 1 Combat Stage.,core,387,False
round,Round,Normal,EOT,,,,,Special,"Burst 1, Sonic","Round's Damage Base is equal to 6, plus +2 more for each previous use of Round by any Trainer or Pokémon this round, up to a maximum of DB12.",core,406,False
sacred-fire,Sacred Fire,Fire,EOT,3,10,3d8+10,24,Physical,"6, 1 Target",Sacred Fire Burns the target on Even-Numbered Rolls.,core,372,False
sacred-sword,Sacred Sword,Fighting,EOT,,8,2d8+10,19,Physical,"Melee, 1 Target",Sacred Sword cannot miss.,core,367,False
safeguard,Safeguard,Normal,Scene,,,,,Status,Blessing,"Blessing - Any user affected by Safeguard may activate it when receiving a Status Affliction to ignore the effects of that Status Affliction on their next turn. Safeguard may be activated 3 times, and then disappears.",core,406,False
salvo,Salvo,Normal,EOT,2,6,2d6+8,15,Physical,"WR, Blast 2",None,core,289,False
sand-attack,Sand Attack,Ground,EOT,2,,,,Status,"2, 1 Target",The target is Blinded until the end of their next turn.,core,387,False
sand-tomb,Sand Tomb,Ground,Scene x2,4,4,1d8+6,11,Physical,"5, 1 Target",The target is put in a Vortex.,core,387,False
sandstorm,Sandstorm,Rock,Daily x2,,,,,Status,"Field, Weather","The weather changes to a Sandstorm for 5 rounds. While it is Sandstorming, all non-Ground, Rock, or Steel Type Pokémon lose a Tick of Hit Points at the beginning of their turn.",core,427,False
scald,Scald,Water,Scene x2,2,8,2d8+10,19,Special,"5, 1 Target",Scald Burns the target on 15+.,core,434,False
scary-face,Scary Face,Normal,EOT,2,,,,Status,"4, 1 Target, Social",The target's Speed is lowered 2 Combat Stages.,core,406,False
scratch,Scratch,Normal,At-Will,2,4,1d8+6,11,Physical,"Melee, Pass",None,core,406,False
screech,Screech,Normal,EOT,4,,,,Status,"Burst 2, Friendly, Sonic",All Legal Targets have their Defense lowered 2 Combat Stages.,core,406,False
searing-shot,Searing Shot,Fire,EOT,2,10,3d8+10,24,Special,Burst 1,Searing Shot Burns all targets on 15+.,core,372,False
secret-force,Secret Force,Normal,EOT,4,4,1d8+6,11,Special,"Melee, 1 Target, Smite","When calculating damage, the target subtracts their Defense from Secret Force's damage instead of their Special Defense. Secret Force is still otherwise Special.",got,45,False
secret-power,Secret Power,Normal,At-Will,2,7,2d6+10,17,Special,"4, 1 Target, Environ",Secret Power's effect depends on Environ. Secret Power's effect activates on 17+.,core,407,False
secret-sword,Secret Sword,Fighting,At-Will,2,8,2d8+10,19,Special,"Melee, 1 Target","When calculating damage, the target subtracts their Defense from Secret Sword's damage instead of their Special Defense. Secret Sword is still otherwise Special ( Special Evasion is used to avoid it, Mirror Coat can reflect it, etc. ).",core,367,False
seed-bomb,Seed Bomb,Grass,At-Will,2,8,2d8+10,19,Physical,"8, 1 Target",None,core,383,False
seed-flare,Seed Flare,Grass,Scene,5,12,3d12+10,30,Special,"6, Ranged Blast 3",All Legal Targets have their Special Defense lowered 1 Combat Stage.,core,383,False
seismic-toss,Seismic Toss,Fighting,Scene x2,2,,,,Physical,"Melee, 1 Target",The target loses Hit Points equal to the level of Seismic Toss' user.,core,367,False
self-destruct,Self-Destruct,Normal,Daily,2,20,6d12+35,75,Physical,Burst 3,The user's Hit Points are set to -50% of their full Hit Point value. This Hit Point loss may not be prevented or reduced in any way. The user's loyalty toward its trainer may be lowered.,core,407,False
shadow-ball,Shadow Ball,Ghost,EOT,2,8,2d8+10,19,Special,"8, 1 Target",Shadow Ball lowers the foe's Special Defense 1 Combat Stage on 17+.,core,378,False
shadow-bone,Shadow Bone,Ghost,EOT,2,9,2d10+10,21,Physical,"Melee, 1 Target",The target's Defense is lowered by 1 Combat Stage on a 17+.,sumo,15,False
shadow-claw,Shadow Claw,Ghost,EOT,2,7,2d6+10,17,Physical,"Melee, Pass",Shadow Claw is a Critical Hit on 18+.,core,378,False
shadow-force,Shadow Force,Ghost,Daily x3,2,12,3d12+10,30,Physical,"Melee, 1 Target, Set-Up","The user is removed from the field, and their turn ends. Shadow Force's user appears adjacent to any legal Target, ignoring Movement Capabilities, and then uses Shadow Force's attack. Shadow Force cannot be avoided by Moves with the Shield Keyword, the Dodge Ability, or similar effects, and Intercepts may not be attempted in response.",core,379,False
shadow-punch,Shadow Punch,Ghost,EOT,,6,2d6+8,15,Physical,"6, 1 Target",Shadow Punch cannot miss.,core,379,False
shadow-sneak,Shadow Sneak,Ghost,At-Will,2,4,1d8+6,11,Physical,"Melee, 1 Target, Priority",None.,core,379,False
sharpen,Sharpen,Normal,At-Will,,,,,Status,Self,Raise the user's Attack 1 Combat Stage.,core,407,False
sheer-cold,Sheer Cold,Ice,Daily,,,,,Status,"4, 1 Target, Execute","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User's Level - The Target's Level.",core,390,False
shell-smash,Shell Smash,Normal,Scene,,,,,Status,Self,"Raise the user's Attack 2 Combat Stages, raise the user's Special Attack 2 Combat Stages and raise the user's Speed 2 Combat Stages. Lower the user's Defense 1 Combat Stage and lower the user's Special Defense 1 Combat Stage.",core,407,False
shell-trap,Shell Trap,Fire,Scene,2,15,4d10+20,45,Special,"Melee, 1 Target, Interrupt, Trigger","If the user is hit by a Melee attack, they may use Shell Trap as an Interrupt.",sumo,13,False
shift-gear,Shift Gear,Steel,Scene x2,,,,,Status,Self,Raise the user's Attack 1 Combat Stage and raise the user's Speed 2 Combat Stages.,core,431,False
shock-wave,Shock Wave,Electric,At-Will,,6,2d6+8,15,Special,"6, 1 Target",Shock Wave cannot miss.,core,358,False
shore-up,Shore Up,Ground,Daily x2,,,,,Status,Self,"The user regains Hit Points equal to half of its full Hit Point value. If it is Sand Storming, the user gains 2/3 of its full Hit Point value instead. If it is Sunny, Rainy or Hailing the user gains 1/4 of their full Hit Point value instead.",sumo,17,False
signal-beam,Signal Beam,Bug,EOT,2,8,2d8+10,19,Special,"6, 1 Target",Signal Beam confuses the target on 19+.,core,348,False
silver-wind,Silver Wind,Bug,At-Will,2,6,2d6+8,15,Special,"6, 1 Target, Spirit Surge","On 19+, the user has each of its stats raised by +1 Combat Stage.",core,348,False
simple-beam,Simple Beam,Normal,Scene,2,,,,Status,"6, 1 Target",You choose one of the target's Abilities. Simple Beam changes that Ability to Simple for the remainder of the encounter.,core,407,False
sing,Sing,Normal,Scene,10,,,,Status,"Burst 2, Friendly, Sonic","All legal Targets fall Asleep. On a miss, Sing instead causes targets to become Slowed and suffer a -2 penalty to their Evasion until the end of the user's next turn.",core,407,False
sketch,Sketch,Normal,Daily,,,,,Status,"15, 1 Target","Sketch cannot miss. Once Sketch has been used, remove Sketch from the user's Move list. The last Move that the target used is added to the user's Move list permanently. Sketch may not be Interrupted or Intercepted.",core,407,False
skill-swap,Skill Swap,Psychic,Scene,,,,,Status,"Melee, 1 Target","The user loses one of their Abilities, selected by the user, and gains one the target's Abilities, selected at random, for the remainder of encounter. The target loses the copied Ability, and gains the user's lost Ability. This effect ends if either the target or the user is Switched out or Fainted, but only for that Pokémon or Trainer.",core,424,False
skull-bash,Skull Bash,Normal,Scene x2,2,13,4d10+10,35,Physical,"Melee, 1 Target, Dash, Push, Set-Up",The use gains +1 Defense CS. The user may attack with Skull Bash. The target is pushed 3 meters.,core,407,False
