id,name,frequency_action_text,trigger_text,target_text,effect_text,source_id,source_page,needs_review
water-compaction,Water Compaction,At-Will - Free Action,The user is hit by a Water Type Move,,The user receives +2 Defense Combat Stages. Defensive.,sumo,5,False
water-veil,Water Veil,Static Keywords: Immune,,,The user is immune to Burns. Defensive.,core,335,False
wave-rider,Wave Rider,Static,,,"While in water, the user's Speed Stat gains +4 Combat Stages. Remove these Combat Stages if the user exits the water.",core,335,False
weak-armor,Weak Armor,At-Will - Free Action,The user takes Physical damage.,,"The user may lower its Defense by 1 Combat Stage, and gain +1 Speed Combat Stage. This is done after the triggering damage is resolved.",core,335,False
weaponize,Weaponize,Static,,,"While being wielded as a Living Weapon and being actively Commanded as a Pokémon, the user may Intercept for its Wielder as a Free Action.",core,335,False
weeble,Weeble,"At-Will - Standard Action, Reaction",The user is hit by a damaging attack,,"The user may make an AC4 Physical Attack against an adjacent target. If the attack hits, the target loses Hit Points equal to 1/3rd of the damage taken by the user from the attack that triggered Weeble.",core,335,False
weird-power,Weird power,Static,,,"If the user's Attack is higher than its Special Attack, the user may add its Attack Stat to its Special Damage Rolls. If their Special Attack is higher, they user may add its Special Attack Stat to its Physical Damage Rolls. This does not stack with Mixed Power.",feb2016,13,False
whirlwind-kicks,Whirlwind Kicks,Static,,,"Connection - Triple Kick. When the user uses the Moves ""Rapid Spin"" or ""Triple Kick"", they have a range of ""Burst 1"".",feb2016,11,False
white-flame,White Flame,Static,,,"The user may not make rolls to cure themselves from the Enraged condition. However, while Enraged, the user gains a +5 Bonus to all Damage Rolls.",core,335,False
white-smoke,White Smoke,Static,,,"The user's Combat Stages, Evasion, or Accuracy may not be lowered except by the user's own Moves and effects. Defensive.",core,335,False
wily,Wily,Static,,,The user's X-target Status Class Moves may target an additional target within range.,sumo,5,False
windveiled,Windveiled,Static,,,"The user is immune to the damage and effects of Flying-Type attacks. If the user is hit by a Flying-Type attack, the user gains +1 Speed CS. Defensive.",feb2016,11,False
winters-kiss,Winter's Kiss,Static,,,"The user does not take damage from Ice-Type Moves. Whenever the user uses or is hit by an Ice- Type Move, the user is healed by a Tick of Hit Points. Defensive.",core,336,False
wishmaster,Wishmaster,Static,,,"Connection - Wish. Whenever the user uses Wish, the user may pick one of the following effects: the target is healed instantly instead of the following round; or the target gains +2 CS to the Stat of their choice upon being healed; or the target is cured of any Status Affliction.",core,336,False
wistful-melody,Wistful Melody,Scene - Free Action,,,"Connection - Sing. Whenever the user uses Sing, they may activate to his Ability to cause targets that are targeted by Sing have their Attack and Special Attack lowered by -2 CS each, whether Sing successfully hits that target or not. This Ability does not affect targets with the Soundproof Ability.",core,336,False
wobble,Wobble,Scene - Free Action,The user is hit by a damaging attack,,"The user may use either Counter or Mirror Coat as a Reaction, ignoring Frequency.",core,336,False
wonder-guard,Wonder Guard,Static,,,Only damaging attacks that are Super-Effective affect the Pokémon with Wonder Guard; all other damaging attacks cannot hit the user or deal damage. Wonder Guard loses its effect if the user has no weaknesses. Defensive.,core,336,False
wonder-skin,Wonder Skin,Static,,,The user gains +6 Evasion against Status Moves. Defensive.,core,336,False
zen-mode,Zen Mode,Scene - Swift Action,,,"The user changes into Zen Mode forme for the rest of the Scene, and may use the Moves ""Flamethrower"" and ""Psychic"" as if they were on its Move List.",feb2016,11,False
zen-snowed,Zen Snowed,Scene - Swift Action,,,"The user changes into Zen Mode forme for the rest of the Scene, and may use the Moves ""Ice Punch"" and ""Fire Punch"" as if they were on its Move List.",new,3,False
